YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.7993293	0.8313340	0.0644263	0.8212733	0.6857687	0.6067489	0.7897563	0.8045433	0.7649267
0.0147432	0.0000000	0.0649944	0.1408993	0.6680226	0.8804984	0.7107442	0.7044692	0.8281994	0.7317186
0.0231566	0.0671524	0.0000000	0.0838054	0.7261058	0.7401595	0.7833698	0.6638391	0.6244643	0.7081230
0.0277129	0.1363397	0.0443692	0.0000000	0.8588387	0.7416008	0.7981764	0.7745703	0.6623281	0.8065582
0.2708411	0.7513910	0.7020464	0.7967947	0.0000000	0.7740348	0.7988345	0.7236590	0.7996540	0.6631900
0.0344460	0.7070783	0.7340957	0.1031491	0.6426282	0.0000000	0.7368498	0.6245136	0.7552433	0.6672438
0.3290549	0.7857983	0.7249440	0.0896197	0.7773535	0.6635008	0.0000000	0.8963071	0.7947435	0.8182691
0.2958937	0.7995190	0.8064459	0.0617589	0.7227505	0.8873165	0.0071369	0.0000000	0.6998207	0.6395303
0.2697848	0.7369089	0.6384695	0.1392982	0.7651601	0.8251687	0.7465163	0.7810815	0.0000000	0.7812791
0.3772095	0.7596177	0.5823614	0.1281704	0.8253432	0.7450862	0.6733711	0.7556045	0.6720349	0.0000000
