YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000031	0.8308005	0.3649917	0.1405534	0.1329301	0.0915664	0.8702089	0.8692908	0.3940507	1.0000000
0.0473179	0.0000036	0.3641618	0.1401724	0.1327225	0.0915079	0.8707761	0.0664849	0.9999936	1.0000000
0.0491903	0.0971176	0.0000000	0.1400508	0.1326561	0.0914893	0.8709575	0.0706219	0.9806662	1.0000000
0.0504189	0.1081738	0.0192067	0.0000000	0.1113040	0.0830962	0.9998539	0.0719345	0.9748806	1.0000000
0.8381960	0.5133126	0.1615885	0.0488181	0.0000000	0.0845504	0.9729496	0.5437363	0.5430882	1.0000000
0.8393730	0.5142694	0.1619348	0.0489444	0.0080209	0.0000000	0.9728353	0.5456082	0.5423325	1.0000000
0.9897413	0.9594477	0.8158941	0.9266083	0.9653802	0.9999915	0.0000054	0.9052565	0.3678131	1.0000000
0.9801473	0.8308005	0.3649917	0.1405534	0.1329301	0.0915664	0.8702089	0.0000027	0.3940507	1.0000000
0.9800824	0.8303168	0.3645170	0.1403353	0.1328113	0.0915329	0.8705334	0.9999999	0.0000028	1.0000000
0.9897774	0.9596166	0.8158700	0.9261587	0.9625948	0.9646949	0.0551477	0.0664701	1.0000000	0.0000000
