YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0469044	0.0375762	0.6498046	0.8010134	0.9907600	0.0671149	0.0663712	0.2897708	0.5232187	0.0117584
0.0850764	0.0187881	0.6498035	0.8010134	0.9907599	0.0671154	0.0663718	0.2897699	0.5232177	0.0117585
0.0938026	0.0375762	0.3249555	0.8010134	0.9907600	0.0671149	0.0663712	0.2897708	0.5232187	0.0117584
0.1013794	0.0515768	0.9502978	0.4005156	0.9907606	0.0671133	0.0663693	0.2897736	0.5232222	0.0117584
0.0999479	0.0490379	0.9388037	0.4274578	0.4953802	0.0671137	0.0663698	0.2897728	0.5232213	0.0117584
0.0937909	0.0375501	0.6472528	0.8040559	0.9987355	0.0335582	0.0663712	0.2897708	0.5232187	0.0117584
0.0937545	0.0374779	0.6479026	0.8034541	0.9972662	0.0438340	0.0331823	0.2897807	0.5232310	0.0116023
0.3411675	0.3861065	0.9998528	0.0713877	0.1816099	0.6212871	0.4471255	0.1521064	0.5350785	0.1280706
0.4010557	0.4905579	0.9999994	0.0113602	0.0788951	0.9012024	0.9849401	0.0563036	0.1793015	0.7369252
0.0924180	0.0348040	0.6497995	0.8010253	0.9908137	0.0669376	0.0661638	0.2900834	0.5236055	0.0058811
